,LONGITUD,LATITUD,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT,TOX_FIS_SUP_15_UT,SEMAFORO,GRUPO,Coordenadas
765,-98.75667,20.16492,4.14,66.81,12.0,230.0,230.0,68.3,1.0,1.0,1.0,Rojo,LENTICO,POINT (-98.75667 20.16492)
766,-99.69259,20.58118,10.53,29.76,28.0,430.0,430.0,46.1,1.0,1.0,1.0,Verde,LOTICO,POINT (-99.69259 20.58118)
767,-99.5012,20.66189,2.0,45.98,20.0,40.0,40.0,68.3,1.0,1.0,1.0,Rojo,LENTICO,POINT (-99.5012 20.66189)
768,-99.47875,20.63485,5.4,48.88,20.0,3.0,3.0,68.3,1.0,1.0,1.0,Rojo,LENTICO,POINT (-99.47875 20.63485)
769,-99.368,20.58547,9.36,30.72,56.0,70.0,70.0,37.2,1.0,1.0,1.0,Verde,LOTICO,POINT (-99.368 20.58547)
770,-99.34621,20.5754,6.02,44.16,52.0,90.0,90.0,43.1,1.085,4.973,1.0,Rojo,LOTICO,POINT (-99.34621 20.5754)
771,-99.37778,20.43658,28.23,54.21,28.0,2400.0,2400.0,42.5,1.0,1.0,1.0,Rojo,LOTICO,POINT (-99.37778 20.43658)
772,-99.32684,20.3742,12.6,57.11,32.0,2100.0,2100.0,44.1,1.0,1.0,1.0,Rojo,LOTICO,POINT (-99.32684 20.3742)
773,-99.22118,20.48079,28.35,67.28,48.0,11000.0,11000.0,48.4,1.0,1.0,1.0,Rojo,LOTICO,POINT (-99.22118 20.48079)
774,-99.44553,20.86451,9.9,37.92,10.0,750.0,750.0,72.2,1.04,2.808,1.0,Verde,LOTICO,POINT (-99.44553 20.86451)
775,-98.55999,20.22143,2.0,45.76,28.0,150.0,150.0,68.3,1.0,1.0,1.0,Rojo,LENTICO,POINT (-98.55999 20.22143)
776,-98.80922,21.01235,2.0,18.36,10.0,4600.0,2100.0,64.1,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-98.80922 21.01235)
777,-98.52737,21.05163,2.0,17.64,10.0,2400.0,1500.0,67.3,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-98.52737 21.05163)
778,-98.33913,21.01557,2.0,20.86,10.0,4600.0,2400.0,60.3,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-98.33913 21.01557)
779,-99.34836,20.07715,93.31,104.21,84.0,200.0,150.0,68.3,1.0,1.0,1.0,Rojo,LENTICO,POINT (-99.34836 20.07715)
